wage_month,region,head,sex,age,married,schooling,position,economictype,ky hop dong lao dong?,huong luong ngay nghi,huong BHXH,co lam viec khac,urban,Kinh,household_size,poor,houses,pay_rent,other_land/house,wealthindex,t_quantity durables,t_value durables
2800,region1,0,female,27,1,5,position4,economictype3,1,1,1,1,0,1,4,0,1,0,0,135,20,42480
4500,region2,1,male,41,0,8,position4,economictype4,2,2,2,1,0,1,2,1,1,0,0,105,11,12980
8818,region5,0,female,40,1,14,position2,economictype2,1,1,1,2,1,1,4,0,1,0,0,150,35,100800
2000,region4,0,female,45,1,11,position6,economictype4,2,2,2,1,0,1,6,0,1,0,0,95,13,14020
4200,region1,0,male,40,1,11,position4,economictype4,2,2,2,1,0,1,6,0,2,0,0,160,33,34200
4200,region5,0,male,24,1,9,position4,economictype4,2,2,2,2,0,1,9,0,1,0,0,75,20,73930
2500,region6,0,female,24,0,16,position2,economictype1,1,1,1,2,0,1,5,0,1,0,1,170,32,101900
3000,region1,0,female,31,1,19,position2,economictype2,1,1,1,2,0,1,4,0,1,0,0,140,35,40900
6500,region6,0,female,27,1,16,position2,economictype3,1,1,1,2,1,1,6,0,1,0,0,170,44,64860
10000,region6,0,male,54,1,16,position2,economictype1,1,1,1,2,1,1,5,0,1,0,0,180,36,83940
4500,region1,0,female,29,1,12,position4,economictype1,1,2,2,2,1,1,3,0,1,0,0,180,12,3250
4500,region4,0,female,33,1,12,position6,economictype1,1,1,1,2,1,1,2,0,1,1,1,160,20,73200
2800,region2,1,male,35,1,7,position4,economictype4,2,2,2,1,1,1,5,1,1,0,0,115,12,34400
12000,region4,0,female,33,1,12,position2,economictype3,1,1,1,2,1,1,5,0,1,0,0,160,20,44600
3120,region5,0,male,39,1,5,position6,economictype4,2,2,2,1,0,1,6,0,1,0,0,155,22,21450
336,region5,0,female,32,1,8,position6,economictype4,2,2,2,1,0,1,5,0,1,0,0,90,14,23800
4000,region4,0,female,55,1,5,position3,economictype4,2,2,2,2,1,1,2,0,1,0,0,105,9,5600
5000,region4,1,male,29,1,9,position4,economictype1,1,1,1,2,0,1,2,0,1,1,0,140,8,8310
5600,region4,0,female,30,1,17,position2,economictype2,1,1,1,2,1,1,5,0,1,0,0,160,30,763900
4000,region4,0,female,25,0,15,position3,economictype1,1,1,1,2,1,1,4,0,1,0,0,160,13,36800
1150,region2,1,male,52,1,9,position1,economictype2,1,1,2,1,0,1,4,0,1,0,0,75,29,78200
6500,region5,1,male,46,1,11,position4,economictype1,1,2,2,2,1,1,5,0,1,0,0,135,28,131007
7400,region2,0,female,47,1,16,position2,economictype2,1,1,1,1,0,0,4,0,1,0,1,100,13,24970
2500,region5,0,male,29,0,12,position6,economictype4,2,2,2,2,1,1,4,0,1,0,0,150,21,60600
4000,region1,0,male,24,0,14,position4,economictype3,1,1,2,2,0,1,3,0,1,0,0,155,11,17200
4500,region6,0,female,44,1,13,position5,economictype2,1,1,1,2,1,1,4,0,1,0,0,170,24,40150
3985,region1,1,male,39,1,12,position2,economictype2,1,1,1,1,0,1,4,0,1,0,1,130,16,23400
3000,region6,0,male,38,1,4,position6,economictype4,2,2,2,1,0,1,6,0,1,0,0,105,9,14150
3200,region6,0,male,29,1,12,position4,economictype4,2,2,2,2,1,1,8,0,1,0,0,160,16,28150
2800,region1,0,female,38,1,12,position4,economictype1,1,1,1,2,1,1,2,0,1,0,0,160,12,6160
2139,region4,0,female,40,1,14,position3,economictype2,1,1,1,1,1,1,4,0,1,0,0,130,24,64200
2500,region6,0,female,41,1,10,position4,economictype1,1,1,2,1,1,1,2,0,1,0,0,135,14,11630
2380,region2,0,male,32,1,14,position2,economictype2,2,2,2,1,0,0,4,0,1,0,0,85,10,8650
5600,region6,1,male,48,1,13,position4,economictype1,1,1,2,2,1,1,4,0,1,0,0,150,16,59590
3000,region6,0,male,26,1,10,position4,economictype1,1,1,2,2,1,1,9,0,1,0,0,105,35,74880
3000,region1,0,male,17,0,9,position4,economictype1,1,1,1,2,0,1,3,0,1,0,0,180,23,48860
5000,region2,0,female,22,1,9,position4,economictype3,1,2,1,2,0,0,8,0,1,0,0,105,14,48700
3600,region6,0,male,27,0,12,position4,economictype4,2,2,2,2,0,1,3,0,1,0,0,145,16,23000
1200,region4,1,male,37,1,5,position4,economictype4,2,2,2,2,1,1,6,0,1,0,0,125,18,23300
1800,region5,0,female,39,1,4,position3,economictype1,1,2,2,1,1,1,4,0,1,0,0,110,14,9830
1500,region2,1,male,31,1,9,position6,economictype4,2,2,2,1,0,0,3,1,1,0,0,100,6,5000
7200,region1,0,male,40,1,19,position2,economictype2,1,1,1,2,0,1,6,0,1,0,0,155,29,76850
4200,region5,1,male,38,1,5,position6,economictype4,2,2,2,2,0,1,3,0,1,0,0,45,6,1630
2400,region1,1,male,42,1,9,position6,economictype4,2,2,2,1,0,1,4,0,1,0,0,150,22,26925
6200,region1,0,female,48,1,15,position2,economictype2,1,1,1,2,1,1,4,0,1,0,0,180,12,21100
5640,region6,0,male,25,0,16,position2,economictype1,1,1,1,2,1,1,5,0,1,0,0,180,32,121210
2500,region5,0,female,22,1,9,position4,economictype4,1,2,2,2,0,1,10,0,1,0,0,140,15,22250
2500,region1,0,male,30,0,16,position3,economictype2,1,1,1,2,0,1,7,0,1,0,0,155,37,148800
3700,region6,0,female,38,1,16,position3,economictype2,1,1,1,2,1,1,6,0,1,0,0,150,29,78400
3600,region6,0,male,41,1,9,position4,economictype4,2,2,2,1,0,1,5,0,1,0,0,95,21,25000
2400,region6,0,female,21,1,5,position4,economictype1,1,1,1,2,1,1,7,0,1,0,0,135,14,41400
7000,region1,0,female,50,1,15,position2,economictype2,1,1,1,2,1,1,4,0,1,0,0,180,28,34960
14000,region4,0,male,53,1,12,position1,economictype1,1,1,1,2,1,1,4,0,1,0,0,160,30,132450
3553,region3,0,female,24,0,16,position2,economictype2,1,1,1,2,0,1,5,0,1,0,0,95,23,85720
2500,region1,0,female,33,1,9,position4,economictype4,2,2,2,2,1,1,4,0,1,0,0,160,16,11705
3500,region6,0,male,21,0,8,position4,economictype1,1,1,2,2,0,1,4,0,1,0,0,120,14,25620
3000,region4,1,male,41,1,10,position6,economictype1,1,1,1,2,1,1,4,0,1,0,0,150,13,22100
5000,region2,1,male,49,1,14,position4,economictype2,1,1,1,2,1,1,3,0,1,0,0,180,7,13350
3500,region1,0,female,23,0,14,position3,economictype1,1,1,1,2,0,1,8,0,1,0,1,170,34,98300
6700,region1,0,female,45,1,16,position2,economictype2,1,1,1,1,0,1,3,0,1,0,0,155,26,80840
3120,region5,0,male,30,1,7,position6,economictype4,2,2,2,1,0,1,7,0,1,0,0,125,33,139040
2500,region6,0,male,34,0,14,position6,economictype2,1,1,1,2,0,1,4,0,1,0,0,150,22,16780
5000,region5,0,female,38,1,5,position4,economictype1,1,1,1,2,0,1,4,0,1,0,0,115,12,46400
5500,region6,1,male,37,1,12,position4,economictype1,2,2,2,2,1,1,3,0,1,0,0,100,17,30360
2700,region2,0,female,28,1,8,position4,economictype3,1,1,2,2,0,1,3,0,1,0,0,155,14,20250
4000,region1,0,female,27,1,14,position3,economictype2,1,1,1,2,0,1,9,0,1,0,0,160,18,92300
3500,region5,0,male,17,0,8,position6,economictype4,2,2,2,1,0,1,4,0,1,0,0,100,9,8380
1150,region2,0,female,23,1,12,position4,economictype2,2,2,2,1,0,1,5,0,1,0,1,145,28,79340
1100,region5,0,male,21,0,6,position4,economictype4,2,2,2,2,1,1,5,0,1,0,0,100,19,9400
3000,region6,1,female,49,0,9,position4,economictype4,2,2,2,2,1,1,2,0,1,0,0,150,18,39820
4800,region4,0,male,25,1,9,position4,economictype4,2,2,2,2,0,1,6,0,1,0,0,125,11,9100
4200,region1,0,female,33,1,15,position2,economictype1,1,1,1,1,1,1,4,0,1,0,0,180,18,71530
4800,region5,0,male,25,0,15,position2,economictype1,1,1,1,2,0,1,4,0,1,0,0,155,22,77770
3500,region4,0,female,19,1,10,position4,economictype2,1,1,2,2,0,1,4,0,1,0,0,130,14,37750
2500,region6,0,male,18,0,12,position6,economictype1,1,2,2,2,1,1,4,0,1,0,0,160,12,6000
8100,region4,0,female,41,1,16,position2,economictype2,1,1,1,1,0,1,4,0,1,0,0,125,23,37700
8000,region4,0,male,34,1,16,position2,economictype1,1,1,1,2,1,1,4,0,1,0,0,150,15,40740
4000,region1,0,male,23,0,12,position4,economictype4,1,1,1,2,0,1,4,0,1,0,0,160,19,27350
3500,region6,0,male,18,0,10,position4,economictype4,2,2,2,2,0,1,3,0,1,0,0,105,24,38300
2400,region5,0,female,43,1,6,position4,economictype1,1,2,2,2,0,1,5,0,1,0,0,125,16,35360
4000,region4,0,male,33,1,9,position4,economictype4,2,2,2,2,1,1,4,0,1,0,0,130,16,22610
5000,region1,0,male,25,1,16,position2,economictype2,1,1,1,2,1,1,6,0,1,0,0,180,19,52250
